DATE,HOUR,STREET1,STREET2,ROAD_CLASS,District,Division,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,INVAGE,INJURY,VEHTYPE,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID
2006-01-01,2,WOODBINE AVE,O CONNOR DR,Major Arterial,Toronto and East York,54,Intersection,No Control,Clear,Dark,Wet,Approaching,Driver,55 to 59,Minor,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,1,1,0,1,0,60
2006-01-01,2,WOODBINE AVE,O CONNOR DR,Major Arterial,Toronto and East York,54,Intersection,No Control,Clear,Dark,Wet,Approaching,Driver,25 to 29,None,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,1,1,0,1,0,60
2006-01-01,3,DANFORTH AVE,WEST LYNN AVE,Major Arterial,Toronto and East York,54,Intersection,No Control,Snow,"Dark, artificial",Slush,SMV Other,Driver,20 to 24,None,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,0,0,0,0,64
2006-01-04,19,DUFFERIN ST,SYLVAN AVE,Major Arterial,Toronto and East York,14,Mid-Block,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,25 to 29,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,0,0,0,0,83
2006-01-04,19,DUFFERIN ST,SYLVAN AVE,Major Arterial,Toronto and East York,14,Mid-Block,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,75 to 79,Major,Other,1,0,1,0,0,0,0,0,0,0,0,0,0,83
2006-01-06,22,DON MILLS RD,LEITH HILL RD,Major Arterial,North York,33,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,50 to 54,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,0,0,0,0,47
2006-01-07,23,STEELES AVE E,NINTH LINE ST,Minor Arterial,Scarborough,42,Mid-Block,No Control,Clear,Dark,Wet,Approaching,Driver,50 to 54,Fatal,"Automobile, Station Wagon",0,0,1,0,0,0,0,0,0,0,0,0,0,131
2006-01-07,23,STEELES AVE E,NINTH LINE ST,Minor Arterial,Scarborough,42,Mid-Block,No Control,Clear,Dark,Wet,Approaching,Driver,35 to 39,Major,"Automobile, Station Wagon",0,0,1,0,0,0,0,0,0,0,0,0,0,131
2006-01-08,15,PARLIAMENT ST,FRONT ST E,Minor Arterial,Toronto and East York,51,Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Driver,40 to 44,Minimal,"Automobile, Station Wagon",0,0,1,0,0,0,0,0,0,1,1,0,0,77
2006-01-08,15,PARLIAMENT ST,FRONT ST E,Minor Arterial,Toronto and East York,51,Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Driver,45 to 49,Major,Passenger Van,0,0,1,0,0,0,0,0,0,1,1,0,0,77
2006-01-08,18,ISLINGTON AVE,GOLFDOWN DR,Major Arterial,Etobicoke York,23,Intersection,Pedestrian Crossover,Clear,Dark,Dry,Pedestrian Collisions,Passenger,20 to 24,None,Other,1,0,1,0,0,0,0,1,0,1,0,0,0,5
2006-01-08,18,ISLINGTON AVE,GOLFDOWN DR,Major Arterial,Etobicoke York,23,Intersection,Pedestrian Crossover,Clear,Dark,Dry,Pedestrian Collisions,Passenger,20 to 24,None,Other,1,0,1,0,0,0,0,1,0,1,0,0,0,5
2006-01-08,18,ISLINGTON AVE,GOLFDOWN DR,Major Arterial,Etobicoke York,23,Intersection,Pedestrian Crossover,Clear,Dark,Dry,Pedestrian Collisions,Passenger,10 to 14,None,Other,1,0,1,0,0,0,0,1,0,1,0,0,0,5
2006-01-08,18,ISLINGTON AVE,GOLFDOWN DR,Major Arterial,Etobicoke York,23,Intersection,Pedestrian Crossover,Clear,Dark,Dry,Pedestrian Collisions,Driver,20 to 24,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,1,0,1,0,0,0,5
2006-01-08,18,ISLINGTON AVE,GOLFDOWN DR,Major Arterial,Etobicoke York,23,Intersection,Pedestrian Crossover,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,10 to 14,Fatal,Other,1,0,1,0,0,0,0,1,0,1,0,0,0,5
2006-01-09,14,KENNEDY RD,GLAMORGAN AVE,Major Arterial,Scarborough,41,Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,50 to 54,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,0,0,0,0,126
