DATE,HOUR,INVAGE,STREET2,STREET1,ALCOHOL,INJURY,.fitted
2006-01-01,2,57,O CONNOR DR,WOODBINE AVE,1,Minor,2.2204460492503126e-16
2006-01-01,2,27,O CONNOR DR,WOODBINE AVE,1,None,2.2204460492503126e-16
2006-01-01,3,22,WEST LYNN AVE,DANFORTH AVE,0,None,2.2204460492503126e-16
2006-01-04,19,27,SYLVAN AVE,DUFFERIN ST,0,None,2.2204460492503126e-16
2006-01-04,19,77,SYLVAN AVE,DUFFERIN ST,0,Major,2.2204460492503126e-16
2006-01-06,22,52,LEITH HILL RD,DON MILLS RD,0,None,2.2204460492503126e-16
2006-01-07,23,52,NINTH LINE ST,STEELES AVE E,0,Fatal,2.2204460492503126e-16
2006-01-07,23,37,NINTH LINE ST,STEELES AVE E,0,Major,2.2204460492503126e-16
2006-01-08,15,42,FRONT ST E,PARLIAMENT ST,0,Minimal,2.2204460492503126e-16
2006-01-08,15,47,FRONT ST E,PARLIAMENT ST,0,Major,2.2204460492503126e-16
2006-01-08,18,22,GOLFDOWN DR,ISLINGTON AVE,0,None,2.2204460492503126e-16
2006-01-08,18,22,GOLFDOWN DR,ISLINGTON AVE,0,None,2.2204460492503126e-16
2006-01-08,18,12,GOLFDOWN DR,ISLINGTON AVE,0,None,2.2204460492503126e-16
2006-01-08,18,22,GOLFDOWN DR,ISLINGTON AVE,0,None,2.2204460492503126e-16
2006-01-08,18,12,GOLFDOWN DR,ISLINGTON AVE,0,Fatal,2.2204460492503126e-16
2006-01-09,14,52,GLAMORGAN AVE,KENNEDY RD,0,None,2.2204460492503126e-16
2006-01-09,14,77,GLAMORGAN AVE,KENNEDY RD,0,Fatal,2.2204460492503126e-16
2006-01-09,18,57,MIDDLEFIELD RD,FINCH AVE E,0,None,2.2204460492503126e-16
2006-01-10,8,82,GULLY DR,BRIMLEY RD,0,Minor,2.2204460492503126e-16
2006-01-10,8,57,GULLY DR,BRIMLEY RD,0,Major,2.2204460492503126e-16
2006-01-11,11,17,JINNAH CRT,BARTLEY DR,0,Minimal,2.2204460492503126e-16
2006-01-11,11,17,JINNAH CRT,BARTLEY DR,0,Minimal,2.2204460492503126e-16
2006-01-11,11,17,JINNAH CRT,BARTLEY DR,0,Fatal,2.2204460492503126e-16
2006-01-11,11,17,JINNAH CRT,BARTLEY DR,0,Major,2.2204460492503126e-16
2006-01-14,9,42,CORONADO CRT,WESTON RD,0,None,2.2204460492503126e-16
2006-01-14,9,82,CORONADO CRT,WESTON RD,0,Major,2.2204460492503126e-16
2006-01-14,20,22,BRAEMAR AVE,EGLINTON AVE W,0,None,2.2204460492503126e-16
2006-01-14,20,27,BRAEMAR AVE,EGLINTON AVE W,0,Major,2.2204460492503126e-16
2006-01-17,19,42,SENLAC RD,SHEPPARD AVE W,0,None,2.2204460492503126e-16
2006-01-17,19,57,SENLAC RD,SHEPPARD AVE W,0,Major,2.2204460492503126e-16
2006-01-17,22,57,COLLINSGROVE RD,LAWRENCE AVE E,0,None,2.2204460492503126e-16
2006-01-17,22,62,COLLINSGROVE RD,LAWRENCE AVE E,0,Major,2.2204460492503126e-16
2006-01-17,23,37,BURRELL AVE,KING EDWARD AVE,0,None,2.2204460492503126e-16
2006-01-17,23,42,BURRELL AVE,KING EDWARD AVE,0,Major,2.2204460492503126e-16
2006-01-21,18,27,GOODLAND GT,MIDLAND AVE,0,None,2.2204460492503126e-16
2006-01-21,18,42,GOODLAND GT,MIDLAND AVE,0,Major,2.2204460492503126e-16
2006-01-21,18,52,GOODLAND GT,MIDLAND AVE,0,Fatal,2.2204460492503126e-16
2006-01-22,18,87,CUMBERLAND ST,YONGE ST,0,Major,2.2204460492503126e-16
2006-01-22,18,52,CUMBERLAND ST,YONGE ST,0,None,2.2204460492503126e-16
2006-01-24,1,37,LAWRENCE AVE E,WARDEN AVE,0,Major,2.2204460492503126e-16
2006-01-24,1,42,LAWRENCE AVE E,WARDEN AVE,0,None,2.2204460492503126e-16
2006-01-24,1,37,LAWRENCE AVE E,WARDEN AVE,0,Fatal,2.2204460492503126e-16
2006-01-24,7,12,BRAYMORE BLVD,DEAN PARK RD,0,None,2.2204460492503126e-16
2006-01-24,7,42,BRAYMORE BLVD,DEAN PARK RD,0,None,2.2204460492503126e-16
2006-01-24,7,77,BRAYMORE BLVD,DEAN PARK RD,0,Fatal,2.2204460492503126e-16
2006-01-24,22,17,WHITEHALL RD,MOUNT PLEASANT RD,0,Minimal,2.2204460492503126e-16
2006-01-24,22,17,WHITEHALL RD,MOUNT PLEASANT RD,0,None,2.2204460492503126e-16
2006-01-24,22,47,WHITEHALL RD,MOUNT PLEASANT RD,0,Fatal,2.2204460492503126e-16
2006-01-24,22,17,WHITEHALL RD,MOUNT PLEASANT RD,0,Minimal,2.2204460492503126e-16
2006-01-27,20,22,CHRISTIE ST,BLOOR ST W,0,None,2.2204460492503126e-16
2006-01-27,20,22,CHRISTIE ST,BLOOR ST W,0,None,2.2204460492503126e-16
2006-01-27,20,22,CHRISTIE ST,BLOOR ST W,0,Major,2.2204460492503126e-16
2006-01-27,23,22,BEECROFT RD,NORTH YORK BLVD,0,Major,2.2204460492503126e-16
2006-01-27,23,22,BEECROFT RD,NORTH YORK BLVD,0,Minor,2.2204460492503126e-16
2006-01-29,21,42,SPADINA RD,ST CLAIR AVE W,0,None,2.2204460492503126e-16
2006-01-29,21,67,SPADINA RD,ST CLAIR AVE W,0,Major,2.2204460492503126e-16
2006-02-02,14,52,NASSAU ST,SPADINA AVE,0,Major,2.2204460492503126e-16
2006-02-02,14,52,NASSAU ST,SPADINA AVE,0,Major,2.2204460492503126e-16
2006-02-02,14,42,NASSAU ST,SPADINA AVE,0,None,2.2204460492503126e-16
2006-02-03,7,72,L AMOREAUX DR,BIRCHMOUNT RD,0,None,2.2204460492503126e-16
2006-02-03,7,17,L AMOREAUX DR,BIRCHMOUNT RD,0,Major,2.2204460492503126e-16
2006-07-18,10,52,LORD SEATON RD,YONGE ST,0,Major,2.2204460492503126e-16
2006-07-18,10,47,LORD SEATON RD,YONGE ST,0,None,2.2204460492503126e-16
2006-07-19,22,22,LANSDOWNE AVE,BLOOR ST W,0,None,2.2204460492503126e-16
2006-07-19,22,47,LANSDOWNE AVE,BLOOR ST W,0,Fatal,2.2204460492503126e-16
2006-07-20,16,42,LLOYD MANOR RD,EGLINTON AVE W,0,Major,2.2204460492503126e-16
2006-07-20,17,32,BROOKSIDE AVE,ST MARKS RD,0,Major,2.2204460492503126e-16
2006-07-20,17,32,BROOKSIDE AVE,ST MARKS RD,0,None,2.2204460492503126e-16
2006-07-22,6,52,PARLIAMENT ST,RICHMOND ST E,0,Major,2.2204460492503126e-16
2006-07-22,6,42,PARLIAMENT ST,RICHMOND ST E,0,None,2.2204460492503126e-16
2006-07-23,5,47,401 X W 427 X RAMP,HIGHWAY 27 S  S,1,Major,0.9999999999999998
2006-07-23,13,37,BISCAYNE BLVD,VICTORIA PARK AVE,0,None,2.2204460492503126e-16
2006-07-23,13,72,BISCAYNE BLVD,VICTORIA PARK AVE,0,Fatal,2.2204460492503126e-16
2006-07-24,13,32,JAMESON LAKESHORE RAMP,LAKE SHORE BLVD W,0,Major,2.2204460492503126e-16
2006-07-24,14,37,ALNESS ST,STEELES AVE W,0,None,2.2204460492503126e-16
2006-07-24,14,17,ALNESS ST,STEELES AVE W,0,None,2.2204460492503126e-16
2006-07-24,14,22,ALNESS ST,STEELES AVE W,0,Minor,2.2204460492503126e-16
2006-07-24,14,62,ALNESS ST,STEELES AVE W,0,Major,2.2204460492503126e-16
2006-07-24,23,32,DON VALLEY PARKWAY S  S,DON MILLS RD,1,None,0.9999999999999998
2006-07-24,23,27,DON VALLEY PARKWAY S  S,DON MILLS RD,1,Major,0.9999999999999998
2006-07-24,23,27,DON VALLEY PARKWAY S  S,DON MILLS RD,1,Minor,0.9999999999999998
2006-07-26,21,22,ARMEL CRT,ALBION RD,0,Major,2.2204460492503126e-16
2006-07-26,21,62,ARMEL CRT,ALBION RD,0,Minor,2.2204460492503126e-16
2006-07-26,21,67,ARMEL CRT,ALBION RD,0,Minor,2.2204460492503126e-16
2006-07-28,16,7,DIXON RD,ISLINGTON AVE,0,None,2.2204460492503126e-16
2006-07-28,16,37,DIXON RD,ISLINGTON AVE,0,None,2.2204460492503126e-16
2006-07-28,16,22,DIXON RD,ISLINGTON AVE,0,Fatal,2.2204460492503126e-16
2006-07-30,7,22,JANE ST,LAWRENCE AVE W,0,None,2.2204460492503126e-16
2006-07-30,7,82,JANE ST,LAWRENCE AVE W,0,Major,2.2204460492503126e-16
2006-07-30,14,47,MCNICOLL AVE,DON MILLS RD,0,Major,2.2204460492503126e-16
2006-07-30,14,47,MCNICOLL AVE,DON MILLS RD,0,Minimal,2.2204460492503126e-16
2006-07-30,14,37,MCNICOLL AVE,DON MILLS RD,0,None,2.2204460492503126e-16
2006-07-31,6,32,BRAHMS AVE,FINCH AVE E,0,None,2.2204460492503126e-16
2006-07-31,6,17,BRAHMS AVE,FINCH AVE E,0,Major,2.2204460492503126e-16
2006-07-31,6,32,BRAHMS AVE,FINCH AVE E,0,None,2.2204460492503126e-16
2006-07-31,14,42,KENNEDY AVE,BLOOR ST W,0,None,2.2204460492503126e-16
2006-07-31,14,12,KENNEDY AVE,BLOOR ST W,0,Major,2.2204460492503126e-16
2006-07-31,16,32,KING ST W,BAY ST,0,Major,2.2204460492503126e-16
2006-08-01,18,72,KIPLING AVE,HENLEY CRES,0,None,2.2204460492503126e-16
2006-08-01,18,62,KIPLING AVE,HENLEY CRES,0,Major,2.2204460492503126e-16
2006-08-01,23,52,WICKSON TRL,NEILSON RD,0,Minor,2.2204460492503126e-16
2006-08-01,23,32,WICKSON TRL,NEILSON RD,0,Fatal,2.2204460492503126e-16
2006-08-03,1,47,LAKESHORE W GARDINER RAMP E,F G GARDINER XY E  E,1,None,0.9999999999999998
2006-08-03,1,17,LAKESHORE W GARDINER RAMP E,F G GARDINER XY E  E,1,Minor,0.9999999999999998
2006-08-03,1,22,LAKESHORE W GARDINER RAMP E,F G GARDINER XY E  E,1,Minor,0.9999999999999998
2006-08-03,1,22,LAKESHORE W GARDINER RAMP E,F G GARDINER XY E  E,1,Major,0.9999999999999998
2006-08-03,1,22,LAKESHORE W GARDINER RAMP E,F G GARDINER XY E  E,1,Minor,0.9999999999999998
2006-08-03,1,52,FOXWELL ST,JANE ST,0,Fatal,2.2204460492503126e-16
2006-08-03,1,42,FOXWELL ST,JANE ST,0,None,2.2204460492503126e-16
2006-08-03,3,27,LAWRENCE AVE E,MIDLAND AVE,0,None,2.2204460492503126e-16
2006-08-03,3,27,LAWRENCE AVE E,MIDLAND AVE,0,None,2.2204460492503126e-16
2006-08-03,3,37,LAWRENCE AVE E,MIDLAND AVE,0,None,2.2204460492503126e-16
2006-08-03,3,47,LAWRENCE AVE E,MIDLAND AVE,0,Minimal,2.2204460492503126e-16
2006-08-03,3,52,LAWRENCE AVE E,MIDLAND AVE,0,Major,2.2204460492503126e-16
2010-07-18,1,17,DAPHNE RD,GREENCEDAR CRCT,0,Fatal,2.2204460492503126e-16
2006-08-03,3,37,LAWRENCE AVE E,MIDLAND AVE,0,Major,2.2204460492503126e-16
2006-08-03,18,57,DORIS AVE,SHEPPARD AVE E,0,None,2.2204460492503126e-16
2006-08-03,18,62,DORIS AVE,SHEPPARD AVE E,0,None,2.2204460492503126e-16
2006-08-03,18,42,DORIS AVE,SHEPPARD AVE E,0,None,2.2204460492503126e-16
2006-08-03,18,47,DORIS AVE,SHEPPARD AVE E,0,Major,2.2204460492503126e-16
2006-08-05,6,22,DUNNING CRES,WESTHEAD RD,0,None,2.2204460492503126e-16
2006-08-05,6,17,DUNNING CRES,WESTHEAD RD,0,Minor,2.2204460492503126e-16
2006-08-05,6,17,DUNNING CRES,WESTHEAD RD,0,Minor,2.2204460492503126e-16
2006-08-05,6,17,DUNNING CRES,WESTHEAD RD,0,Major,2.2204460492503126e-16
2006-08-05,6,17,DUNNING CRES,WESTHEAD RD,0,Major,2.2204460492503126e-16
2006-08-06,2,22,SOUTH DR,MOUNT PLEASANT RD,0,None,2.2204460492503126e-16
2006-08-06,2,27,SOUTH DR,MOUNT PLEASANT RD,0,Major,2.2204460492503126e-16
2006-02-26,1,17,DUNDAS ST W,LANSDOWNE AVE,0,Major,2.2204460492503126e-16
2006-08-06,21,47,LUTTRELL AVE,DANFORTH AVE,0,Major,2.2204460492503126e-16
2006-08-07,21,72,KISKADEE DR,FINCH AVE W,0,Major,2.2204460492503126e-16
2006-02-03,9,52,BIRCHMOUNT RD,ELLESMERE RD,0,None,2.2204460492503126e-16
2006-02-03,9,67,BIRCHMOUNT RD,ELLESMERE RD,0,Major,2.2204460492503126e-16
2006-02-07,13,52,BRADLEY AVE,JANE ST,0,None,2.2204460492503126e-16
2006-02-07,13,82,BRADLEY AVE,JANE ST,0,Major,2.2204460492503126e-16
2006-02-08,7,32,RUNNYMEDE RD,WOODSIDE AVE,0,None,2.2204460492503126e-16
2006-02-08,7,52,RUNNYMEDE RD,WOODSIDE AVE,0,Major,2.2204460492503126e-16
2006-02-08,15,52,DIXON RD,CARLINGVIEW DR,0,None,2.2204460492503126e-16
2006-02-08,15,82,DIXON RD,CARLINGVIEW DR,0,Major,2.2204460492503126e-16
2006-02-11,18,67,CASSANDRA BLVD,UNDERHILL DR,0,None,2.2204460492503126e-16
2006-02-11,18,22,CASSANDRA BLVD,UNDERHILL DR,0,Major,2.2204460492503126e-16
2006-02-12,8,52,CANNING AVE,PAPE AVE,0,Major,2.2204460492503126e-16
2006-02-12,8,47,CANNING AVE,PAPE AVE,0,Minimal,2.2204460492503126e-16
2006-02-13,9,57,TIAGO AVE,GLENBURN AVE,0,Major,2.2204460492503126e-16
2006-02-13,9,72,TIAGO AVE,GLENBURN AVE,0,None,2.2204460492503126e-16
2006-02-14,5,42,BLACK CREEK DR,EGLINTON AVE W,0,None,2.2204460492503126e-16
2006-02-14,5,42,BLACK CREEK DR,EGLINTON AVE W,0,Minor,2.2204460492503126e-16
2006-02-14,5,57,BLACK CREEK DR,EGLINTON AVE W,0,Major,2.2204460492503126e-16
