x,y,chisq_pval,cramV
AG_DRIV,ALCOHOL,0,0.0798
AG_DRIV,AUTOMOBILE,0,0.1426
AG_DRIV,CYCLIST,0,0.1396
AG_DRIV,DISABILITY,0,0.0839
AG_DRIV,District,0,0.0978
AG_DRIV,Division,0,0.1077
AG_DRIV,EMERG_VEH,0,0.0668
AG_DRIV,Hood_ID,0,0.2337
AG_DRIV,IMPACTYPE,0,0.3397
AG_DRIV,INVTYPE,0,0.143
AG_DRIV,LIGHT,0.0022,0.0479
AG_DRIV,LOCCOORD,0,0.15310000000000001
AG_DRIV,MOTORCYCLE,0,0.0625
AG_DRIV,PASSENGER,0,0.1411
AG_DRIV,PEDESTRIAN,0,0.1568
AG_DRIV,RDSFCOND,0.2687,0.0279
AG_DRIV,REDLIGHT,0,0.3044
AG_DRIV,ROAD_CLASS,0.0174,0.0437
AG_DRIV,SPEEDING,0,0.3516
AG_DRIV,STREET1,0,0.4979
AG_DRIV,STREET2,0,0.7401
AG_DRIV,TRAFFCTL,0,0.2349
AG_DRIV,TRSN_CITY_VEH,0,0.0665
AG_DRIV,TRUCK,0.8215,0.0023
AG_DRIV,VEHTYPE,0,0.1423
AG_DRIV,VISIBILITY,0.0402,0.0368
ALCOHOL,AUTOMOBILE,0,0.0506
ALCOHOL,CYCLIST,0,0.0536
ALCOHOL,DISABILITY,5e-4,0.0351
ALCOHOL,District,0.0358,0.0296
ALCOHOL,Division,0,0.0784
ALCOHOL,EMERG_VEH,0,0.9141
ALCOHOL,Hood_ID,0,0.2193
ALCOHOL,IMPACTYPE,0,0.178
ALCOHOL,INVTYPE,0,0.083
ALCOHOL,LIGHT,0,0.1894
ALCOHOL,LOCCOORD,0,0.0858
ALCOHOL,MOTORCYCLE,0.0057,0.028
ALCOHOL,PASSENGER,0,0.0818
ALCOHOL,PEDESTRIAN,0,0.0806
ALCOHOL,RDSFCOND,0.2195,0.0291
ALCOHOL,REDLIGHT,0.0354,0.0213
ALCOHOL,ROAD_CLASS,0.0033,0.0486
ALCOHOL,SPEEDING,0,0.1994
ALCOHOL,STREET1,0,0.5054
ALCOHOL,STREET2,0,0.7573
ALCOHOL,TRAFFCTL,0,0.0604
ALCOHOL,TRSN_CITY_VEH,0.6443,0.0047
ALCOHOL,TRUCK,0.0014,0.0324
ALCOHOL,VEHTYPE,0.0327,0.0647
ALCOHOL,VISIBILITY,0.001,0.048
AUTOMOBILE,CYCLIST,0,0.0853
AUTOMOBILE,DISABILITY,0,0.0465
AUTOMOBILE,District,0,0.1266
AUTOMOBILE,Division,0,0.1581
AUTOMOBILE,EMERG_VEH,0,0.8463
AUTOMOBILE,Hood_ID,0,0.2294
AUTOMOBILE,IMPACTYPE,0,0.2018
AUTOMOBILE,INVTYPE,0,0.3864
AUTOMOBILE,LIGHT,0,0.0717
AUTOMOBILE,LOCCOORD,0.1239,0.0273
AUTOMOBILE,MOTORCYCLE,0,0.1066
AUTOMOBILE,PASSENGER,0,0.139
AUTOMOBILE,PEDESTRIAN,0,0.1145
AUTOMOBILE,RDSFCOND,0.5819,0.022
AUTOMOBILE,REDLIGHT,0,0.0881
AUTOMOBILE,ROAD_CLASS,0.2519,0.0324
AUTOMOBILE,SPEEDING,0,0.0576
AUTOMOBILE,STREET1,0,0.4936
AUTOMOBILE,STREET2,0,0.6989
AUTOMOBILE,TRAFFCTL,1e-4,0.06
AUTOMOBILE,TRSN_CITY_VEH,0,0.4335
AUTOMOBILE,TRUCK,0,0.3531
AUTOMOBILE,VEHTYPE,0,0.554
AUTOMOBILE,VISIBILITY,0.5141,0.0232
CYCLIST,DISABILITY,0,0.0647
CYCLIST,District,0,0.2303
CYCLIST,Division,0,0.2348
CYCLIST,EMERG_VEH,0,0.7483
CYCLIST,Hood_ID,0,0.3135
CYCLIST,IMPACTYPE,0,0.969
CYCLIST,INVTYPE,0,0.7006
CYCLIST,LIGHT,0,0.1051
